pop  Allele Marker1 Marker2 Marker3 Marker4 Marker5 Marker6 Marker7 Marker8 Marker9 Marker10 Marker11 Marker12 Marker13 Marker14 Marker15 Marker16 Marker17 Marker18	Marker19 Marker20 Marker21 Marker22 Marker23 Marker24 Marker25 Marker26 Marker27 Marker28 Marker29 Marker30 Marker31 Marker32 Marker33 Marker34 Marker35	Marker36 Marker37 Marker38 Marker39 Marker40 Marker41 Marker42 Marker43 Marker44 Marker45 Marker46 Marker47 Marker48 Marker49 Marker50 Marker51 Marker52 Marker53 Marker54 Marker55 Marker56 Marker57 Marker58 Marker59 Marker60 Marker61 Marker62 Marker63 Marker64 Marker65 Marker66 Marker67 Marker68 Marker69	Marker70 Marker71 Marker72 Marker73 Marker74 Marker75 Marker76 Marker77 Marker78 Marker79 Marker80 Marker81 Marker82 Marker83 Marker84 Marker85 Marker86	Marker87 Marker88 Marker89 Marker90 Marker91 Marker92 Marker93 Marker94 Marker95 Marker96 Marker97 Marker98 Marker99 Marker100 Marker101 Marker102 Marker103 Marker104 Marker105 Marker106 Marker107 Marker108 Marker109 Marker110 Marker111 Marker112 Marker113 Marker114 Marker115 Marker116 Marker117 Marker118 Marker119 Marker120 Marker121 Marker122 Marker123 Marker124 Marker125 Marker126 Marker127 Marker128 Marker129 Marker130		
pop1      1   0.690   0.670  0.9900   0.095   0.200   0.250   0.700   0.550   0.980   0.0190    0.075    0.800    0.590    0.580    0.180    0.540     0.48   0.5900	0.110     0.60    0.320    0.670     0.14    0.840    0.370    0.840     0.92     0.24   0.0740    0.300    0.410    0.910    0.360    0.530    0.480	  0.800    0.460   0.2900    0.160     0.26   1.0000    0.190    0.079    0.590    0.280     0.20    0.480    0.450    0.320    0.460   0.2100    0.580	    0.120     0.89    0.730    0.560     0.35    0.970    0.750    0.910    0.320    0.930    0.320    0.370    0.320    0.480   0.3800    0.043    0.087   0.150   0.9700    0.710   0.7600    0.130     0.86    0.780    0.390     0.47    0.970    0.770    0.300    0.510    0.640    0.420    0.120    0.096	0.14   0.7800    0.014    0.310   0.6100    0.500    0.960    0.380     0.43    0.790    0.071    0.730    0.180     0.280     0.140      0.21    0.8000	0.43    0.6300    0.9300     0.200      0.36     0.300     0.890     0.043     0.740      0.55     0.820     0.790     0.020     0.760     0.740     0.650	  0.510    0.4400     0.570     0.590     0.730    0.7400     0.620      0.36     0.054     0.570     0.590
pop1      2   0.310   0.330  0.0095   0.900   0.800   0.750   0.300   0.450   0.017   0.9800    0.920    0.200    0.410    0.420    0.820    0.460     0.52   0.4100	0.890     0.40    0.680    0.330     0.86    0.160    0.630    0.160     0.08     0.76   0.9300    0.700    0.590    0.085    0.640    0.470    0.520	  0.200    0.540   0.7100    0.840     0.74   0.0048    0.810    0.920    0.410    0.720     0.80    0.520    0.550    0.680    0.540   0.7900    0.420	    0.880     0.11    0.270    0.440     0.65    0.031    0.250    0.093    0.680    0.067    0.680    0.630    0.680    0.520   0.6200    0.960    0.910   0.850   0.0260    0.290   0.2400    0.870     0.14    0.220    0.610     0.53    0.033    0.230    0.700    0.490    0.360    0.580    0.880    0.900	0.86   0.2200    0.990    0.690   0.3900    0.500    0.038    0.620     0.57    0.210    0.930    0.270    0.820     0.720     0.860      0.79    0.2000	0.57    0.3700    0.0710     0.800      0.64     0.700     0.110     0.960     0.260      0.45     0.180     0.210     0.980     0.240     0.260     0.350	  0.490    0.5600     0.430     0.410     0.270    0.2600     0.380      0.64     0.950     0.430     0.410
pop2      1   0.051   0.340  0.2000   0.330   0.400   0.400   0.450   0.790   0.270   0.9300    0.800    0.500    0.880    0.510    0.610    0.340     0.34   0.6900	0.046     0.62    0.660    0.120     0.54    0.890    0.930    0.760     0.61     0.50   1.0000    0.230    0.220    0.013    0.220    0.650    0.300	  0.760    0.640   0.4900    0.840     0.89   0.3700    0.670    0.017    0.120    0.960     0.38    0.049    0.056    0.600    0.024   0.8900    0.390	    0.330     0.63    0.140    0.065     0.76    0.890    0.420    0.560    0.310    0.012    0.280    0.520    0.760    0.390   0.8700    0.220    0.390   0.210   0.3000    0.530   0.7600    0.840     0.23    0.069    0.120     0.86    0.930    0.560    0.042    0.570    0.740    0.310    0.220    0.110	0.65   0.7000    0.930    0.540   0.2700    0.360    0.720    0.150     0.19    0.220    0.670    0.390    0.980     0.046     0.910      0.41    0.6100	0.68    0.6200    0.7200     0.400      0.20     0.650     0.940     0.300     0.520      0.30     0.090     0.066     0.920     0.550     0.260     0.076	  0.570    0.8200     0.750     0.089     0.120    0.1700     0.750      0.14     0.400     0.110     0.390
pop2      2   0.950   0.660  0.8000   0.670   0.600   0.600   0.550   0.210   0.730   0.0680    0.200    0.500    0.120    0.490    0.390    0.660     0.66   0.3100	0.950     0.38    0.340    0.880     0.46    0.110    0.070    0.240     0.39     0.50   0.0012    0.770    0.780    0.990    0.780    0.350    0.700	  0.240    0.360   0.5100    0.160     0.11   0.6300    0.330    0.980    0.880    0.041     0.62    0.950    0.940    0.400    0.980   0.1100    0.610	    0.670     0.37    0.860    0.930     0.24    0.110    0.580    0.440    0.690    0.990    0.720    0.480    0.240    0.610   0.1300    0.780    0.610   0.790   0.7000    0.470   0.2400    0.160     0.77    0.930    0.880     0.14    0.071    0.440    0.960    0.430    0.260    0.690    0.780    0.890	0.35   0.3000    0.069    0.460   0.7300    0.640    0.280    0.850     0.81    0.780    0.330    0.610    0.019     0.950     0.093      0.59    0.3900	0.32    0.3800    0.2800     0.600      0.80     0.350     0.063     0.700     0.480      0.70     0.910     0.930     0.078     0.450     0.740     0.920	  0.430    0.1800     0.250     0.910     0.880    0.8300     0.250      0.86     0.600     0.890     0.610
pop3      1   0.280   0.067  0.8100   0.530   0.750   0.950   0.860   0.440   0.850   0.2600    0.080    0.670    0.900    0.980    0.880    0.067     0.15   0.9300	0.460     0.37    0.760    0.440     0.61    0.069    0.067    0.340     0.42     0.54   0.8300    0.910    0.090    0.300    0.840    0.400    0.230	  0.450    0.920   0.6000    0.470     0.23   0.4000    0.035    0.530    0.830    0.280     0.53    0.240    0.640    0.240    0.770   0.9900    0.150	    0.750     0.11    0.250    0.740     0.88    0.990    0.140    0.980    0.680    0.520    0.810    0.088    0.800    0.710   0.7800    0.470    0.690   0.250   1.0000    0.950   0.1500    0.910     0.97    0.580    0.230     0.12    0.810    0.520    0.910    0.850    0.550    0.630    0.320    0.100	0.69   0.3400    0.420    0.530   0.3600    0.460    0.810    0.063     0.68    0.450    0.800    0.320    0.150     0.840     0.400      0.30    0.1500	0.54    0.3800    0.2300     0.520      0.41     0.200     0.660     0.560     0.078      0.38     0.320     0.530     0.930     0.035     0.064     0.650	  0.580    0.4000     0.210     0.790     0.120    0.1800     0.870      0.66     0.420     0.760     0.500
pop3      2   0.720   0.930  0.1900   0.470   0.250   0.052   0.140   0.560   0.150   0.7400    0.920    0.330    0.097    0.025    0.120    0.930     0.85   0.0700	0.540     0.63    0.240    0.560     0.39    0.930    0.930    0.660     0.58     0.46   0.1700    0.088    0.910    0.700    0.160    0.600    0.770	  0.550    0.085   0.4000    0.530     0.77   0.6000    0.970    0.470    0.170    0.720     0.47    0.760    0.360    0.760    0.230   0.0083    0.850	    0.250     0.89    0.750    0.260     0.12    0.015    0.860    0.019    0.320    0.480    0.190    0.910    0.200    0.290   0.2200    0.530    0.310   0.750   0.0024    0.053   0.8500    0.089     0.03    0.420    0.770     0.88    0.190    0.480    0.091    0.150    0.450    0.370    0.680    0.900	0.31   0.6600    0.580    0.470   0.6400    0.540    0.190    0.940     0.32    0.550    0.200    0.680    0.850     0.160     0.600      0.70    0.8500	0.46    0.6200    0.7700     0.480      0.59     0.800     0.340     0.440     0.920      0.62     0.680     0.470     0.069     0.960     0.940     0.350	  0.420    0.6000     0.790     0.210     0.880    0.8200     0.130      0.34     0.580     0.240     0.500
pop4      1   0.130   0.700  0.3700   0.260   0.490   0.110   0.920   0.310   0.510   0.4300    0.430    0.760    0.077    0.730    0.220    0.038     0.61   0.0710	0.190     0.57    0.370    0.860     0.53    0.650    0.520    0.510     0.58     0.78   0.6000    0.930    0.092    0.400    0.760    0.320    0.220	  0.560    0.075   0.7700    0.210     0.63   0.1300    0.110    0.690    0.940    0.310     0.81    0.600    0.240    0.130    0.250   0.6200    0.290	    0.930     0.55    0.560    0.440     0.80    0.680    0.270    0.710    0.640    0.260    0.180    0.890    0.970    0.970   0.2800    0.960    0.066   0.051   0.3200    0.860   0.3200    0.410     0.75    0.018    0.210     0.45    0.820    0.320    0.340    0.980    0.230    0.370    0.022    0.210	0.41   1.0000    0.200    0.250   0.4200    0.700    0.200    0.240     0.79    0.300    0.460    0.140    0.790     0.820     0.420      0.06    0.8000	0.53    0.3400    0.2200     0.430      0.76     0.970     0.450     0.570     0.700      0.51     0.220     0.950     0.170     0.730     0.490     0.400	  0.360    0.8500     0.130     0.079     0.570    0.1000     0.170      0.38     0.930     0.960     0.660
pop4      2   0.870   0.300  0.6300   0.740   0.510   0.890   0.084   0.690   0.490   0.5700    0.570    0.240    0.920    0.270    0.780    0.960     0.39   0.9300	0.810     0.43    0.630    0.140     0.47    0.350    0.480    0.490     0.42     0.22   0.4000    0.066    0.910    0.600    0.240    0.680    0.780	  0.440    0.930   0.2300    0.790     0.37   0.8700    0.890    0.310    0.056    0.690     0.19    0.400    0.760    0.870    0.750   0.3800    0.710	    0.065     0.45    0.440    0.560     0.20    0.320    0.730    0.290    0.360    0.740    0.820    0.110    0.033    0.031   0.7200    0.038    0.930   0.950   0.6800    0.140   0.6800    0.590     0.25    0.980    0.790     0.55    0.180    0.680    0.660    0.017    0.770    0.630    0.980    0.790	0.59   0.0017    0.800    0.750   0.5800    0.300    0.800    0.760     0.21    0.700    0.540    0.860    0.210     0.180     0.580      0.94    0.2000	0.47    0.6600    0.7800     0.570      0.24     0.027     0.550     0.430     0.300      0.49     0.780     0.054     0.830     0.270     0.510     0.600	  0.640    0.1500     0.870     0.920     0.430    0.9000     0.830      0.62     0.070     0.035     0.340
pop5      1   0.620   0.390  0.9100   0.640   0.340   0.550   0.270   0.650   0.800   0.7500    0.870    0.380    0.490    0.950    0.820    0.580     0.69   0.8200	0.120     0.89    0.610    0.140     0.60    0.810    0.110    0.930     0.61     0.22   0.7800    0.500    0.720    0.430    0.800    0.063    0.710	  0.860    0.440   0.8400    0.590     0.47   0.1100    0.610    0.580    0.980    0.620     0.14    0.410    0.013    0.430    0.440   0.6100    0.092	    0.930     0.61    0.980    0.330     0.85    0.750    0.930    0.900    0.730    0.087    0.770    0.810    0.950    0.670   0.0260    0.370    0.066   0.070   0.2100    0.520   0.9200    0.210     0.55    0.480    0.230     0.78    0.570    0.048    0.320    0.760    0.060    0.610    0.570    0.580	0.53   0.8600    0.700    0.890   0.5300    0.520    0.670    0.310     0.85    0.780    0.130    0.550    0.380     0.910     0.730      0.22    0.0400	0.88    0.6400    0.4300     0.620      0.21     0.910     0.550     0.110     0.330      0.63     0.980     0.600     0.510     0.960     0.300     0.190	  0.098    0.1400     0.025     0.240     0.850    0.8000     0.520      0.81     0.650     0.240     0.590
pop5      2   0.380   0.610  0.0860   0.360   0.660   0.450   0.730   0.350   0.200   0.2500    0.130    0.620    0.510    0.049    0.180    0.420     0.31   0.1800	0.880     0.11    0.390    0.860     0.40    0.190    0.890    0.075     0.39     0.78   0.2200    0.500    0.280    0.570    0.200    0.940    0.290	  0.140    0.560   0.1600    0.410     0.53   0.8900    0.390    0.420    0.020    0.380     0.86    0.590    0.990    0.570    0.560   0.3900    0.910	    0.066     0.39    0.018    0.670     0.15    0.250    0.071    0.099    0.270    0.910    0.230    0.190    0.049    0.330   0.9700    0.630    0.930   0.930   0.7900    0.480   0.0820    0.790     0.45    0.520    0.770     0.22    0.430    0.950    0.680    0.240    0.940    0.390    0.430    0.420	0.47   0.1400    0.300    0.110   0.4700    0.480    0.330    0.690     0.15    0.220    0.870    0.450    0.620     0.089     0.270      0.78    0.9600	0.12    0.3600    0.5700     0.380      0.79     0.091     0.450     0.890     0.670      0.37     0.018     0.400     0.490     0.044     0.700     0.810	  0.900    0.8600     0.970     0.760     0.150    0.2000     0.480      0.19     0.350     0.760     0.410
